state,county, TOT_MALE,TOT_FEMALE,% Age 0 to 4 years,% Age 5 to 9 years,% Age 10 to 14 years,% Age 15 to 19 years,% Age 20 to 24 years,% Age 25 to 29 years,% Age 30 to 34 years,% Age 35 to 39 years,% Age 40 to 44 years,% Age 45 to 49 years,% Age 50 to 54 years,% Age 55 to 59 years,% Age 60 to 64 years,% Age 65 to 69 years,% Age 70 to 74 years,% Age 75 to 79 years,% Age 80 to 84 years,%  Age 85 years or older,%  TOT_MALE,% TOT_FEMALE,fips
Indiana,Switzerland,5524,5193,6.289073434729868,7.128860688625547,7.194177475039656,6.289073434729868,5.104040309788187,5.523933936736027,5.4119623028832695,6.2144256788280305,5.897172716245218,6.485023793972193,7.1568535970887375,7.371465895306523,6.6249883362881405,5.6172436316133245,4.460203415134833,3.3124941681440703,2.164784921153308,1.7542222636931974,51.54427545021928,48.45572454978072,18155
Indiana,Tippecanoe,98678,94370,5.93686544279143,5.780427665658282,5.6416020885997265,9.533380299200198,17.457834320997886,8.066387634163524,6.181364220297542,5.530230823422154,4.979590568148854,5.011706932990759,4.726285690605446,4.8998176619286395,4.6143964195433265,3.9332186813642203,2.853176412084041,1.9679043553934774,1.350441341013634,1.5353694417968589,51.11578467531391,48.88421532468609,18157
Indiana,Tipton,7537,7591,5.374140666314119,5.116340560549974,6.094658910629297,6.451612903225806,5.4468535166578524,5.803807509254363,5.142781597038604,5.189053410893707,5.354309888947647,7.112638815441566,6.821787414066631,7.793495505023797,7.436541512427287,6.233474352194606,5.532786885245901,3.9661554732945534,2.4391856160761503,2.6903754627181384,49.82152300370174,50.17847699629826,18159
Indiana,Union,3491,3546,5.314764814551656,5.0731845957083985,6.138979678840415,5.982663066647719,5.783714651129743,6.408981099900527,4.9168679835157025,5.854767656671877,5.556345033394913,6.750035526502771,7.588460991899957,8.313201648429729,6.948983942020748,6.5084553076595135,5.0731845957083985,3.5668608782151487,2.0605371607218985,2.1600113684808866,49.609208469518265,50.390791530481735,18161
Indiana,Vanderburgh,87699,93275,6.034568501552709,6.0014145678384745,6.021859493628919,6.334059036104634,6.881098942389515,7.5110236829599835,6.782189706808713,6.349530871837944,5.468741366163096,5.754417761667422,5.960524716257584,7.033054471913093,6.973929956789374,5.586437830848631,3.938134759689237,2.850133168300419,2.1356658967586504,2.3832152684916066,48.45944721341187,51.54055278658814,18163
Indiana,Vermillion,7691,7788,5.459008979908263,5.930615672847083,6.298856515278765,6.5443504102332195,5.284579107177467,6.046902254667614,5.168292525356935,5.691582143549325,5.872472381936817,6.886749790038116,6.402222365785903,7.203307707216229,7.171005878932747,6.6024937011434846,5.058466309193101,3.663027327346728,2.261127979843659,2.454938949544544,49.68667226565023,50.31332773434977,18165
Indiana,Vigo,54405,52981,5.764252323394111,5.61805077011901,5.6813737358687355,7.308215223585942,10.904587190136517,7.126627307097759,5.994263684279143,6.051999329521538,5.381520868642095,5.818263088298289,5.880654833963459,6.052930549606094,6.105078874341162,5.217626133760453,4.087124951110946,2.8951632428808223,1.954630957480491,2.157636935913434,50.66302870020301,49.33697129979699,18167
Indiana,Wabash,15158,16122,5.310102301790281,5.40920716112532,6.048593350383632,7.400895140664962,6.710358056265984,5.585038363171355,5.009590792838875,5.508312020460358,5.4411764705882355,6.032608695652174,6.246803069053708,7.3241687979539645,7.10997442455243,5.939897698209719,4.990409207161125,3.663682864450128,2.8836317135549874,3.3855498721227626,48.45907928388747,51.54092071611254,18169
Indiana,Warren,4086,4177,5.34914679898342,6.438339586106741,6.571463148977369,6.087377465811448,4.5625075638388,5.518576788091492,5.34914679898342,5.6153939247246765,5.530678930170641,6.740893138085441,7.031344547984994,7.805881641050466,7.176570252934769,6.1720924603654845,4.949776110371536,4.090524022752027,2.6140626890959697,2.3962241316713055,49.449352535398766,50.55064746460124,18171
Indiana,Warrick,30670,31897,5.45974715105407,6.573752936851696,7.326545942749372,6.688829574695926,5.2040212891780016,5.40380711876868,5.478926590694775,6.663256988508319,6.2940527754247455,6.934965716751643,6.5449837773906365,7.253024757460002,6.677641568238848,5.857720523598702,4.559911774577652,3.132641807981843,1.8636022184218517,2.0825674876532356,49.01945114836895,50.98054885163105,18173
